Price,Close,High,Low,Open,Volume
Ticker,WBETH-USD,WBETH-USD,WBETH-USD,WBETH-USD,WBETH-USD
Date,,,,,
2024-08-04,2808.77587890625,3064.206298828125,2767.676025390625,3035.184326171875,7682985
2024-08-05,2524.675537109375,2818.85107421875,2242.949951171875,2808.77587890625,63036321
2024-08-06,2568.4404296875,2662.751708984375,2521.41162109375,2524.675537109375,6595957
2024-08-07,2440.05615234375,2665.283447265625,2416.571533203125,2567.984619140625,8888262
2024-08-08,2802.636474609375,2846.066162109375,2429.39111328125,2440.05615234375,6127126
2024-08-09,2720.94140625,2827.92041015625,2674.346923828125,2803.045654296875,5616547
2024-08-10,2725.560546875,2763.07373046875,2700.89697265625,2720.94140625,3629697
2024-08-11,2670.037841796875,2842.001953125,2660.7578125,2725.560546875,1712689
2024-08-12,2848.754150390625,2874.421875,2627.38671875,2671.96875,6845299
2024-08-13,2829.12353515625,2865.17724609375,2735.955078125,2848.225830078125,2868467
2024-08-14,2787.82373046875,2901.43017578125,2759.718505859375,2829.12353515625,3829273
2024-08-15,2689.33154296875,2799.651611328125,2641.815185546875,2787.82373046875,3038586
2024-08-16,2713.5859375,2751.4130859375,2671.380615234375,2689.972412109375,9293363
2024-08-17,2735.22021484375,2749.10400390625,2708.947265625,2713.5859375,1404056
2024-08-18,2736.3681640625,2806.87548828125,2716.60400390625,2735.22021484375,1669927
2024-08-19,2759.768798828125,2771.007080078125,2686.591796875,2735.0625,5778158
2024-08-20,2705.831298828125,2821.531005859375,2676.588623046875,2759.718505859375,5212099
2024-08-21,2753.406005859375,2787.141357421875,2659.759033203125,2691.763671875,4430572
2024-08-22,2746.902587890625,2768.59814453125,2709.68603515625,2753.406005859375,2880550
2024-08-23,2893.1728515625,2928.998046875,2746.349365234375,2746.929443359375,20597909
2024-08-24,2898.0166015625,2952.471923828125,2868.238037109375,2892.94189453125,6715310
2024-08-25,2877.7822265625,2923.9443359375,2863.711181640625,2898.0166015625,7279636
2024-08-26,2808.26611328125,2893.477783203125,2794.088623046875,2877.898681640625,8603726
2024-08-27,2574.8173828125,2827.75830078125,2517.139892578125,2808.26611328125,5068083
2024-08-28,2647.728271484375,2674.2958984375,2536.574462890625,2575.17919921875,12864078
2024-08-29,2649.341064453125,2719.570556640625,2628.754638671875,2647.728271484375,8049621
2024-08-30,2646.865966796875,2667.064697265625,2553.231201171875,2649.341064453125,3751095
2024-08-31,2632.530517578125,2652.548095703125,2611.803955078125,2645.949462890625,5044681
2024-09-01,2545.60888671875,2636.419921875,2520.0693359375,2632.530517578125,2401729
2024-09-02,2660.084228515625,2681.880859375,2542.0107421875,2545.294677734375,2688844
2024-09-03,2536.34423828125,2675.0458984375,2529.82470703125,2660.084228515625,1531059
2024-09-04,2566.649658203125,2608.359619140625,2421.5673828125,2536.114990234375,5350656
2024-09-05,2480.502685546875,2583.673095703125,2463.08984375,2566.649658203125,3345989
2024-09-06,2330.886962890625,2522.810302734375,2254.406982421875,2480.502685546875,6755314
2024-09-07,2383.974609375,2420.981201171875,2329.297119140625,2330.728515625,1965703
2024-09-08,2408.455322265625,2445.927734375,2351.1318359375,2383.976318359375,2508569
2024-09-09,2472.93603515625,2493.7451171875,2383.9072265625,2408.369384765625,4594512
2024-09-10,2505.10791015625,2514.1083984375,2436.245849609375,2472.715087890625,1422928
2024-09-11,2453.238525390625,2505.10791015625,2391.5908203125,2505.10791015625,4673570
2024-09-12,2477.423828125,2508.48193359375,2428.717041015625,2453.238525390625,3598896
2024-09-13,2561.19482421875,2583.970703125,2451.910888671875,2477.423828125,2246107
2024-09-14,2536.703857421875,2562.172607421875,2507.37939453125,2561.19482421875,3940954
2024-09-15,2434.5615234375,2548.491943359375,2406.99755859375,2536.703857421875,4506409
2024-09-16,2408.216552734375,2448.255615234375,2364.394287109375,2434.892578125,2531648
2024-09-17,2456.640869140625,2507.644775390625,2374.05078125,2408.024169921875,1811902
2024-09-18,2484.990234375,2485.697265625,2391.473876953125,2456.7119140625,6607932
2024-09-19,2585.5556640625,2615.571533203125,2486.804443359375,2486.804443359375,7425229
2024-09-20,2685.981689453125,2697.642578125,2559.954345703125,2585.5556640625,6388356
2024-09-21,2741.1796875,2746.139404296875,2654.93994140625,2685.981689453125,4478454
2024-09-22,2709.542724609375,2757.37841796875,2653.488525390625,2741.1796875,3098680
2024-09-23,2780.457763671875,2833.667236328125,2667.613037109375,2709.542724609375,7413934
2024-09-24,2785.804443359375,2804.332275390625,2723.3525390625,2780.46240234375,3710130
2024-09-25,2709.431640625,2805.15771484375,2684.518310546875,2785.804443359375,4742964
2024-09-26,2762.923095703125,2797.203369140625,2688.11376953125,2709.583984375,8323394
2024-09-27,2831.1689453125,2863.15185546875,2746.5283203125,2762.923095703125,4557922
2024-09-28,2811.717041015625,2840.15087890625,2784.592041015625,2830.98486328125,4151979
2024-09-29,2792.255615234375,2817.366943359375,2768.104248046875,2811.21240234375,4212005
2024-09-30,2734.49853515625,2795.96533203125,2706.26171875,2792.255615234375,5424718
2024-10-01,2572.4248046875,2791.232421875,2538.53759765625,2733.99853515625,6568084
2024-10-02,2486.3056640625,2624.43994140625,2473.346435546875,2572.087646484375,4270075
2024-10-03,2467.87744140625,2523.953125,2428.9013671875,2485.549072265625,9085651
2024-10-04,2537.57958984375,2563.064453125,2458.521484375,2467.87744140625,2059140
2024-10-05,2537.85400390625,2550.619140625,2511.697509765625,2537.0888671875,13158713
2024-10-06,2564.461181640625,2581.196533203125,2529.068115234375,2537.85400390625,4402056
2024-10-07,2543.8232421875,2647.29541015625,2526.88427734375,2564.346923828125,7069696
2024-10-08,2565.01318359375,2588.013427734375,2523.2353515625,2543.8232421875,2342965
2024-10-09,2489.422119140625,2597.04296875,2470.739501953125,2564.163330078125,5527482
2024-10-10,2505.775146484375,2538.9521484375,2450.30224609375,2489.412109375,3572105
2024-10-11,2561.181396484375,2597.15234375,2501.75341796875,2505.562744140625,4311404
2024-10-12,2602.377685546875,2616.14111328125,2558.419189453125,2560.974609375,2893710
