Price,Close,High,Low,Open,Volume
Ticker,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD
Date,,,,,
2024-08-04,58163.4453125,61007.62109375,57592.078125,60692.6875,398938743
2024-08-05,54133.4609375,58220.1640625,49766.32421875,58163.328125,1419791238
2024-08-06,55999.80859375,56878.95703125,54091.80078125,54132.625,451224827
2024-08-07,55076.8046875,57613.73046875,54723.4609375,55998.44921875,464550636
2024-08-08,61776.26953125,62394.93359375,54882.265625,55074.7578125,439353331
2024-08-09,60740.86328125,61771.72265625,59836.98046875,61771.72265625,338115062
2024-08-10,60896.9609375,61153.7890625,60348.109375,60749.92578125,209030799
2024-08-11,58777.640625,61516.45703125,58572.015625,60897.61328125,309787981
2024-08-12,59389.52734375,60340.3359375,58041.48828125,58777.41015625,366804262
2024-08-13,60534.2890625,61335.796875,58711.05078125,59389.6953125,291591062
2024-08-14,58867.296875,61396.50390625,58811.8828125,60536.33203125,367112768
2024-08-15,57593.828125,59713.0625,56508.66796875,58866.328125,350492596
2024-08-16,58862.8984375,59639.87109375,57281.84375,57592.19140625,250427285
2024-08-17,59334.87109375,59515.73046875,58794.859375,58862.453125,107838266
2024-08-18,58572.9453125,60092.6875,58568.96875,59335.01171875,170560727
2024-08-19,59327.703125,59334.421875,57999.54296875,58574.59375,236780051
2024-08-20,59087.8828125,61079.953125,58754.59375,59326.7578125,449885863
2024-08-21,61080.703125,61519.5078125,58972.15625,59087.85546875,284752814
2024-08-22,60423.5703125,61246.41796875,60097.4140625,61080.51171875,236179034
2024-08-23,63965.40234375,64515.15625,60411.7265625,60422.4609375,375114546
2024-08-24,63929.48828125,64249.04296875,63610.734375,63964.453125,200175950
2024-08-25,64134.50390625,64609.75390625,63708.2421875,63929.54296875,170637319
2024-08-26,62898.30078125,64223.03125,62897.5390625,64134.86328125,207909123
2024-08-27,59475.296875,63019.23828125,58595.03515625,62898.328125,281776344
2024-08-28,59026.0234375,60030.90625,58047.2109375,59474.72265625,301079699
2024-08-29,59299.70703125,60901.2265625,58944.44921875,59025.67578125,167754002
2024-08-30,59092.46875,59548.71875,57956.7890625,59299.609375,201823853
2024-08-31,58928.3359375,59239.69140625,58790.7890625,59092.625,66545133
2024-09-01,57317.06640625,58958.890625,57243.609375,58928.33984375,173848258
2024-09-02,59112.22265625,59241.32421875,57293.484375,57316.73046875,165607748
2024-09-03,57498.65625,59622.8515625,57498.65625,59112.22265625,143962119
2024-09-04,57930.46875,58363.078125,55922.39453125,57479.74609375,252420565
2024-09-05,56074.50390625,58077.20703125,55891.53515625,57926.54296875,169538730
2024-09-06,53788.18359375,56776.03515625,52719.671875,56074.37109375,394819612
2024-09-07,54052.453125,54715.13671875,53730.40625,53788.18359375,117585579
2024-09-08,54776.55078125,55186.02734375,53727.890625,54052.4453125,110601801
2024-09-09,57085.328125,57600.75,54670.02734375,54777.44140625,170105574
2024-09-10,57589.265625,57845.99609375,56507.296875,57084.39453125,117408734
2024-09-11,57333.50390625,57768.93359375,55608.796875,57589.265625,187827617
2024-09-12,58092.4453125,58282.1484375,57324.25390625,57333.140625,167620211
2024-09-13,60429.59375,60450.875,57721.46875,58091.9765625,171020938
2024-09-14,59921.359375,60454.21484375,59590.13671875,60429.328125,87923893
2024-09-15,59114.296875,60199.44140625,58863.12890625,59921.41796875,99140723
2024-09-16,58076.765625,59114.27734375,57622.65234375,59114.27734375,134358969
